SYMBOL,ISSUER,Current supply,Max supply	,PRESICION,Pool balance,Core exchange rate (CER),Description,Countries,Title
BND,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BND is a derivative that tracks the real value of 1 Brunei Dollar - official currency of BRUNEI DARUSSALAM. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BRUNEI DARUSSALAM,Brunei Dollar
BOB,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BOB is a derivative that tracks the real value of 1 Boliviano - official currency of BOLIVIA (PLURINATIONAL STATE OF). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BOLIVIA (PLURINATIONAL STATE OF),Boliviano
BRL,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BRL is a derivative that tracks the real value of 1 Brazilian Real - official currency of BRAZIL. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BRAZIL,Brazilian Real
BTN,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BTN is a derivative that tracks the real value of 1 Ngultrum - official currency of BHUTAN. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BHUTAN,Ngultrum
BWP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BWP is a derivative that tracks the real value of 1 Pula - official currency of BOTSWANA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BOTSWANA,Pula
BYN,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BYN is a derivative that tracks the real value of 1 Belarusian Ruble - official currency of BELARUS. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BELARUS,Belarusian Ruble
BZD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"BZD is a derivative that tracks the real value of 1 Belize Dollar - official currency of BELIZE. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BELIZE,Belize Dollar
CAD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"CAD is a derivative that tracks the real value of 1 Canadian Dollar - official currency of CANADA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CANADA,Canadian Dollar
CDF,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"CDF is a derivative that tracks the real value of 1 Congolese Franc - official currency of CONGO (THE DEMOCRATIC REPUBLIC OF THE). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CONGO (THE DEMOCRATIC REPUBLIC OF THE),Congolese Franc
CHF,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"CHF is a derivative that tracks the real value of 1 Swiss Franc - official currency of SWITZERLAND and LIECHTENSTEIN. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",SWITZERLAND and LIECHTENSTEIN,Swiss Franc
CLP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"CLP is a derivative that tracks the real value of 1 Chilean Peso - official currency of CHILE. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CHILE,Chilean Peso
CNY,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"CNY is a derivative that tracks the real value of 1 Yuan Renminbi - official currency of CHINA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CHINA,Yuan Renminbi
COP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"COP is a derivative that tracks the real value of 1 Colombian Peso - official currency of COLOMBIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",COLOMBIA,Colombian Peso
CRC,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"CRC is a derivative that tracks the real value of 1 Costa Rican Colon - official currency of COSTA RICA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",COSTA RICA,Costa Rican Colon
CUC,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"CUC is a derivative that tracks the real value of 1 Peso Convertible - official currency of CUBA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CUBA,Peso Convertible
CUP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"CUP is a derivative that tracks the real value of 1 Cuban Peso - official currency of CUBA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CUBA,Cuban Peso
CVE,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"CVE is a derivative that tracks the real value of 1 Cabo Verde Escudo - official currency of CABO VERDE. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CABO VERDE,Cabo Verde Escudo
CZK,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"CZK is a derivative that tracks the real value of 1 Czech Koruna - official currency of CZECHIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CZECHIA,Czech Koruna
DJF,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"DJF is a derivative that tracks the real value of 1 Djibouti Franc - official currency of DJIBOUTI. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",DJIBOUTI,Djibouti Franc
DKK,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"DKK is a derivative that tracks the real value of 1 Danish Krone - official currency of DENMARK, FAROE ISLANDS (THE), GREENLAND. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract","DENMARK, FAROE ISLANDS (THE), GREENLAND",Danish Krone
DOP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"DOP is a derivative that tracks the real value of 1 Dominican Peso - official currency of DOMINICAN REPUBLIC (THE). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",DOMINICAN REPUBLIC (THE),Dominican Peso
DZD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"DZD is a derivative that tracks the real value of 1 Algerian Dinar - official currency of ALGERIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",ALGERIA,Algerian Dinar
EGP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"EGP is a derivative that tracks the real value of 1 Egyptian Pound - official currency of EGYPT. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",EGYPT,Egyptian Pound
ERN,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"ERN is a derivative that tracks the real value of 1 Nakfa - official currency of ERITREA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",ERITREA,Nakfa
ETB,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"ETB is a derivative that tracks the real value of 1 Ethiopian Birr - official currency of ETHIOPIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",ETHIOPIA,Ethiopian Birr
EUR,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"EUR is a derivative that tracks the real value of 1 Euro - official currency of ÅLAND ISLANDS, ANDORRA, AUSTRIA, BELGIUM, CYPRUS, ESTONIA, EUROPEAN UNION, FINLAND, FRANCE, FRENCH GUIANA, FRENCH SOUTHERN TERRITORIES (THE), GERMANY, GREECE, GUADELOUPE, HOLY SEE (THE), IRELAND, ITALY, LATVIA, LITHUANIA, LUXEMBOURG, MALTA, MARTINIQUE, MAYOTTE, MONACO, MONTENEGRO, NETHERLANDS (THE), PORTUGAL, RÉUNION, SAINT BARTHÉLEMY, SAINT MARTIN (FRENCH PART), SAINT PIERRE AND MIQUELON, SAN MARINO, SLOVAKIA, SLOVENIA, SPAIN. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract","ÅLAND ISLANDS, ANDORRA, AUSTRIA, BELGIUM, CYPRUS, ESTONIA, EUROPEAN UNION, FINLAND, FRANCE, FRENCH GUIANA, FRENCH SOUTHERN TERRITORIES (THE), GERMANY, GREECE, GUADELOUPE, HOLY SEE (THE), IRELAND, ITALY, LATVIA, LITHUANIA, LUXEMBOURG, MALTA, MARTINIQUE, MAYOTTE, MONACO, MONTENEGRO, NETHERLANDS (THE), PORTUGAL, RÉUNION, SAINT BARTHÉLEMY, SAINT MARTIN (FRENCH PART), SAINT PIERRE AND MIQUELON, SAN MARINO, SLOVAKIA, SLOVENIA, SPAIN",Euro
FJD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"FJD is a derivative that tracks the real value of 1 Fiji Dollar - official currency of FIJI. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",FIJI,Fiji Dollar
FKP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"FKP is a derivative that tracks the real value of 1 Falkland Islands Pound - official currency of FALKLAND ISLANDS (THE) [MALVINAS]. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",FALKLAND ISLANDS (THE) [MALVINAS],Falkland Islands Pound
GBP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"GBP is a derivative that tracks the real value of 1 Pound Sterling - official currency of GUERNSEY, ISLE OF MAN, JERSEY, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract","GUERNSEY, ISLE OF MAN, JERSEY, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE)",Pound Sterling
GEL,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"GEL is a derivative that tracks the real value of 1 Lari - official currency of GEORGIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",GEORGIA,Lari
GHS,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"GHS is a derivative that tracks the real value of 1 Ghana Cedi - official currency of GHANA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",GHANA,Ghana Cedi
GIP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"GIP is a derivative that tracks the real value of 1 Gibraltar Pound - official currency of GIBRALTAR. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",GIBRALTAR,Gibraltar Pound
GMD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"GMD is a derivative that tracks the real value of 1 Dalasi - official currency of GAMBIA (THE). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",GAMBIA (THE),Dalasi
GNF,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"GNF is a derivative that tracks the real value of 1 Guinean Franc - official currency of GUINEA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",GUINEA,Guinean Franc
GTQ,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"GTQ is a derivative that tracks the real value of 1 Quetzal - official currency of GUATEMALA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",GUATEMALA,Quetzal
GYD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"GYD is a derivative that tracks the real value of 1 Guyana Dollar - official currency of GUYANA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",GUYANA,Guyana Dollar
HKD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"HKD is a derivative that tracks the real value of 1 Hong Kong Dollar - official currency of HONG KONG. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",HONG KONG,Hong Kong Dollar
HNL,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"HNL is a derivative that tracks the real value of 1 Lempira - official currency of HONDURAS. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",HONDURAS,Lempira
HRK,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"HRK is a derivative that tracks the real value of 1 Kuna - official currency of CROATIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CROATIA,Kuna
HTG,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"HTG is a derivative that tracks the real value of 1 Gourde - official currency of HAITI. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",HAITI,Gourde
HUF,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"HUF is a derivative that tracks the real value of 1 Forint - official currency of HUNGARY. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",HUNGARY,Forint
IDR,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"IDR is a derivative that tracks the real value of 1 Rupiah - official currency of INDONESIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",INDONESIA,Rupiah
ILS,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"ILS is a derivative that tracks the real value of 1 New Israeli Sheqel - official currency of ISRAEL and STATE OF PALESTINE. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",ISRAEL and STATE OF PALESTINE,New Israeli Sheqel
INR,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"INR is a derivative that tracks the real value of 1 Indian Rupee - official currency of BHUTAN and INDIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",BHUTAN and INDIA,Indian Rupee
IQD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"IQD is a derivative that tracks the real value of 1 Iraqi Dinar - official currency of IRAQ. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",IRAQ,Iraqi Dinar
IRR,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"IRR is a derivative that tracks the real value of 1 Iranian Rial - official currency of IRAN (ISLAMIC REPUBLIC OF). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",IRAN (ISLAMIC REPUBLIC OF),Iranian Rial
ISK,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"ISK is a derivative that tracks the real value of 1 Iceland Krona - official currency of ICELAND. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",ICELAND,Iceland Krona
JMD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"JMD is a derivative that tracks the real value of 1 Jamaican Dollar - official currency of JAMAICA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",JAMAICA,Jamaican Dollar
JOD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"JOD is a derivative that tracks the real value of 1 Jordanian Dinar - official currency of JORDAN. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",JORDAN,Jordanian Dinar
JPY,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"JPY is a derivative that tracks the real value of 1 Yen - official currency of JAPAN. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",JAPAN,Yen
KES,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"KES is a derivative that tracks the real value of 1 Kenyan Shilling - official currency of KENYA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",KENYA,Kenyan Shilling
KGS,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"KGS is a derivative that tracks the real value of 1 Som - official currency of KYRGYZSTAN. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",KYRGYZSTAN,Som
KHR,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"KHR is a derivative that tracks the real value of 1 Riel - official currency of CAMBODIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CAMBODIA,Riel
KMF,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"KMF is a derivative that tracks the real value of 1 Comorian Franc - official currency of COMOROS (THE). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",COMOROS (THE),Comorian Franc
KPW,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"KPW is a derivative that tracks the real value of 1 North Korean Won - official currency of KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF),North Korean Won
KRW,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"KRW is a derivative that tracks the real value of 1 Won - official currency of KOREA (THE REPUBLIC OF). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",KOREA (THE REPUBLIC OF),Won
KWD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"KWD is a derivative that tracks the real value of 1 Kuwaiti Dinar - official currency of KUWAIT. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",KUWAIT,Kuwaiti Dinar
KYD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"KYD is a derivative that tracks the real value of 1 Cayman Islands Dollar - official currency of CAYMAN ISLANDS (THE). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",CAYMAN ISLANDS (THE),Cayman Islands Dollar
KZT,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"KZT is a derivative that tracks the real value of 1 Tenge - official currency of KAZAKHSTAN. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",KAZAKHSTAN,Tenge
LAK,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"LAK is a derivative that tracks the real value of 1 Lao Kip - official currency of LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE),Lao Kip
LBP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"LBP is a derivative that tracks the real value of 1 Lebanese Pound - official currency of LEBANON. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",LEBANON,Lebanese Pound
LKR,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"LKR is a derivative that tracks the real value of 1 Sri Lanka Rupee - official currency of SRI LANKA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",SRI LANKA,Sri Lanka Rupee
LRD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"LRD is a derivative that tracks the real value of 1 Liberian Dollar - official currency of LIBERIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",LIBERIA,Liberian Dollar
LSL,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"LSL is a derivative that tracks the real value of 1 Loti - official currency of LESOTHO. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",LESOTHO,Loti
LYD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"LYD is a derivative that tracks the real value of 1 Libyan Dinar - official currency of LIBYA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",LIBYA,Libyan Dinar
MAD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MAD is a derivative that tracks the real value of 1 Moroccan Dirham - official currency of MOROCCO and WESTERN SAHARA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MOROCCO and WESTERN SAHARA,Moroccan Dirham
MDL,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MDL is a derivative that tracks the real value of 1 Moldovan Leu - official currency of MOLDOVA (THE REPUBLIC OF). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MOLDOVA (THE REPUBLIC OF),Moldovan Leu
MGA,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MGA is a derivative that tracks the real value of 1 Malagasy Ariary - official currency of MADAGASCAR. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MADAGASCAR,Malagasy Ariary
MKD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MKD is a derivative that tracks the real value of 1 Denar - official currency of MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF). It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF),Denar
MMK,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MMK is a derivative that tracks the real value of 1 Kyat - official currency of MYANMAR. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MYANMAR,Kyat
MNT,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MNT is a derivative that tracks the real value of 1 Tugrik - official currency of MONGOLIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MONGOLIA,Tugrik
MOP,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MOP is a derivative that tracks the real value of 1 Pataca - official currency of MACAO. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MACAO,Pataca
MRU,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MRU is a derivative that tracks the real value of 1 Ouguiya - official currency of MAURITANIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MAURITANIA,Ouguiya
MUR,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MUR is a derivative that tracks the real value of 1 Mauritius Rupee - official currency of MAURITIUS. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MAURITIUS,Mauritius Rupee
MVR,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MVR is a derivative that tracks the real value of 1 Rufiyaa - official currency of MALDIVES. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MALDIVES,Rufiyaa
MWK,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MWK is a derivative that tracks the real value of 1 Malawi Kwacha - official currency of MALAWI. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MALAWI,Malawi Kwacha
MXN,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MXN is a derivative that tracks the real value of 1 Mexican Peso - official currency of MEXICO. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MEXICO,Mexican Peso
MYR,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MYR is a derivative that tracks the real value of 1 Malaysian Ringgit - official currency of MALAYSIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MALAYSIA,Malaysian Ringgit
MZN,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"MZN is a derivative that tracks the real value of 1 Mozambique Metical - official currency of MOZAMBIQUE. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",MOZAMBIQUE,Mozambique Metical
NAD,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"NAD is a derivative that tracks the real value of 1 Namibia Dollar - official currency of NAMIBIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",NAMIBIA,Namibia Dollar
NGN,localcoin-fiat,0,"1,000,000,000,000.00000000",8,10000,,"NGN is a derivative that tracks the real value of 1 Naira - official currency of NIGERIA. It is 100% decentralized, trustless and backed by the collateral held by the blockchain in smart contract",NIGERIA,Naira
